Clip_Filename,Average_Pitch_Hz,Average_Amplitude
clip073.mov,689.552734375,0.012910484336316586
clip074.mov,538.1619873046875,0.007517191115766764
clip075.mov,528.6665649414062,0.003121696412563324
clip076.mov,366.0223693847656,0.0016193862538784742
clip077.mov,312.27490234375,0.047788240015506744
clip078.mov,449.4500732421875,0.01084921881556511
clip079.mov,932.460693359375,0.013436631299555302
clip080.mov,519.74755859375,0.016720669344067574
clip081.mov,312.82757568359375,0.0553109236061573
clip082.mov,351.9457702636719,0.05484369397163391
clip083.mov,550.6990356445312,0.06694650650024414
clip084.mov,417.10369873046875,0.05304768308997154
clip085.mov,545.27978515625,0.04644717276096344
clip086.mov,506.85107421875,0.057774756103754044
clip087.mov,418.7826843261719,0.05041101574897766
clip088.mov,286.4206237792969,0.058118317276239395
clip089.mov,493.6976623535156,0.07318426668643951
clip090.mov,476.1260681152344,0.08722635358572006
clip091.mov,452.4461669921875,0.052599407732486725
clip092.mov,524.8215942382812,0.05100918188691139
clip093.mov,444.93359375,0.06361863017082214
clip094.mov,395.6616516113281,0.05362827330827713
clip095.mov,348.27117919921875,0.050327420234680176
clip096.mov,529.7260131835938,0.06310383975505829
clip097.mov,319.9863586425781,0.07212256640195847
clip098.mov,559.1764526367188,0.04485673829913139
clip099.mov,218.0639190673828,0.008226743899285793
clip100.mov,240.47413635253906,0.02520822174847126
clip101.mov,267.94207763671875,0.02847951650619507
clip102.mov,312.7518615722656,0.030788306146860123
clip103.mov,248.99740600585938,0.02651536464691162
clip104.mov,273.31927490234375,0.0351848229765892
clip105.mov,305.1337585449219,0.03753618523478508
clip106.mov,325.2757263183594,0.053240276873111725
clip107.mov,363.41107177734375,0.04788355901837349
clip108.mov,304.5147399902344,0.029104221612215042
clip109.mov,266.9277648925781,0.022465132176876068
clip110.mov,281.21875,0.02410939149558544
clip111.mov,216.5124969482422,0.029687097296118736
clip112.mov,647.3211669921875,0.04107847064733505
clip113.mov,1031.2755126953125,0.0385868139564991
clip114.mov,1013.9331665039062,0.022203007712960243
clip115.mov,513.9927978515625,0.011250095441937447
clip116.mov,438.4687805175781,0.015561975538730621
clip117.mov,487.3656311035156,0.01910414732992649
clip118.mov,357.1824645996094,0.02440541982650757
clip119.mov,480.18328857421875,0.009918722324073315
clip120.mov,472.5528869628906,0.0029262565076351166
clip121.mov,649.71875,0.014968276023864746
clip122.mov,546.6900024414062,0.00868743285536766
clip123.mov,668.9856567382812,0.017624277621507645
clip124.mov,664.1477661132812,0.013415973633527756
clip125.mov,717.419921875,0.024060873314738274
clip126.mov,676.739013671875,0.01614302583038807
clip127.mov,686.929443359375,0.015330818481743336
clip128.mov,532.7847290039062,0.009087721817195415
clip129.mov,723.3816528320312,0.021423978731036186
