Clip_Filename,Average_H,Average_S,Average_V
clip140.mov,83.12650356716578,152.38040455005788,20.16030065465856
clip141.mov,74.93426961263019,164.70331506799764,15.954698870623552
clip142.mov,71.37135154441552,154.8537967710142,13.037289971245658
clip143.mov,78.84088772243923,164.80618204752605,16.75274857132523
clip144.mov,64.26713629828559,152.9873321985316,13.21702846950955
clip145.mov,42.22137298223256,145.72189861757533,26.71844341016548
clip146.mov,62.2943484157986,135.57220153808598,20.744878427010992
clip147.mov,71.65168273925781,129.47090876826536,23.371935266565398
clip148.mov,73.60550236454718,166.8622921639902,16.863581384729454
clip149.mov,74.10512776692711,126.47208907515915,19.051609384042248
clip150.mov,70.22109316225405,160.28442764847367,19.611632441767938
clip151.mov,60.72897650824654,132.28555636935758,28.528412113896124
clip152.mov,63.24892853913482,163.28434934262881,19.250273121021408
clip153.mov,63.179608651620356,156.2942586489077,19.603718080873836
clip154.mov,62.45587938096788,144.78135819046588,19.309687115704577
clip155.mov,52.476903483072924,130.97671920211226,13.515314670138885
clip156.mov,56.05936948423031,160.82136598940252,11.565018559208623
clip157.mov,55.564820873119196,146.73750110767503,19.618289342809607
clip158.mov,59.97129561812789,140.0405136447483,23.763084422923896
clip159.mov,42.22117058648004,132.23742619267216,14.29044781720197
clip160.mov,61.74005714699072,131.8448889160156,20.97502045808015
clip161.mov,47.08755748607495,130.66425202546296,21.80028234411169
clip162.mov,38.26882884837962,147.0152942346644,18.57472812228733
clip163.mov,37.56844545717593,152.03439193160446,17.828794080946185
clip164.mov,64.17156751844618,154.72220678258827,15.65621697319879
clip165.mov,35.292005999529785,162.2099290861906,17.790964604130494
clip166.mov,35.45628012799202,138.7359589243499,17.13789685837766
clip167.mov,20.343380262586802,160.60379824037906,33.9543211308232
clip168.mov,23.93336823640047,149.64619784884982,30.65705851236979
clip169.mov,32.487251586914056,147.77116186071325,20.766215820312503
clip170.mov,54.369149169921876,136.87691173412185,19.644210340711812
clip171.mov,37.76831106680411,158.71099466959632,16.939471955475984
clip172.mov,47.40052838360821,143.45936665852864,18.354434995298032
clip173.mov,55.66866305881076,131.64239113136574,19.37816842538339
clip174.mov,18.51415895815249,166.17536189326535,25.520887609411172
clip175.mov,19.791093388310184,165.16949677643953,22.803976056134257
clip176.mov,22.76617135507089,164.5493444824219,20.241322473596643
clip177.mov,26.419955760814528,158.54105685763892,29.46893055103442
clip178.mov,25.437946144386583,159.11572697392214,20.994655241789633
clip179.mov,21.803027569806133,157.08555980541087,18.583079494900176
clip180.mov,18.93467316804109,162.41943038375294,20.99863351327402
clip181.mov,39.57894800256799,137.76469731083623,18.844081240053534
clip182.mov,49.10699544270833,127.2270068133319,19.53753063060619
clip183.mov,49.93297555428965,131.76589296694155,17.782734465422454
clip184.mov,54.366369967990465,142.3111588767723,14.25141927083333
clip185.mov,56.40111784758392,138.5431655770761,14.329344934534143
clip186.mov,53.49349109790942,139.11989140263316,15.329125795717593
clip187.mov,48.84153442671395,143.66937813977543,16.854418702903374
clip188.mov,46.24205170808013,146.64037070945457,18.6077096218533
clip189.mov,50.44733025444879,136.61329119646987,17.780479442455153
clip190.mov,48.35418542932582,143.27099310980904,17.79486909089265
clip191.mov,48.21035255714702,146.0062619583695,17.095722588433155
clip192.mov,48.0563207103588,144.9108973298249,17.957792335792824
clip193.mov,52.26408381709345,142.5123704020182,19.25790839301215
clip194.mov,38.22277160644531,158.11201743797022,27.599889526367182
clip195.mov,28.096806595413767,166.2884271014178,34.03995275426795
clip196.mov,26.16050030743634,164.2406769024884,37.72528776945891
clip197.mov,22.795267718279806,164.57422304506656,41.951369018554686
clip198.mov,24.29686923556857,157.3214763274016,40.91494850441262
clip199.mov,23.08697848849827,153.48457643862122,41.16603416160301
clip200.mov,20.969585887767654,149.89635299117478,42.411106974283854
clip201.mov,78.07478951913338,143.08080326786748,27.64310250741464
clip202.mov,96.74429870605469,159.17910169813365,37.87322833025896
clip203.mov,93.3118273473669,89.97460605197482,79.86729092068146
clip204.mov,92.28178871437358,82.67497755262586,65.27625906485098
clip205.mov,93.92046418366611,72.66728942871094,93.98362905996818
clip206.mov,93.71909936975551,112.82465001989294,60.96971128110534
clip207.mov,80.96305573640048,140.45855330855758,36.26549725567852
clip208.mov,95.1620815325798,154.33630413803928,35.62121502382536
clip209.mov,94.98177978515623,160.56579047309032,39.31300573278356
clip210.mov,98.16663361725983,175.40075100368918,32.661457700376154
clip211.mov,98.22242124204284,162.31292952926066,45.139596128110526
clip212.mov,99.86899787055121,187.516050302011,35.64089298954716
clip213.mov,99.43112415455009,199.87377294469772,29.410976381655093
clip214.mov,99.52234194155095,154.62680614330154,63.531279161241315
clip215.mov,100.07104404025608,172.1490592447917,41.653624719690406
clip216.mov,98.65176683213974,177.50475979275174,39.20708681459781
clip217.mov,99.13105875651043,178.09097728587963,43.73937759964554
clip218.mov,99.18381071867765,174.35932818377455,39.413382093641495
clip219.mov,92.01281905562792,169.5450949435764,39.648054131401906
clip220.mov,98.05858109085649,177.7438016538267,43.34321465386284
